Wave,SiteID,Date,Weather,Time,Count
2023 W1 spring,ML0001,22/06/2023,Dry,10:45:00,45
2023 W1 spring,ML0001,22/06/2023,Dry,11:00:00,11
2023 W1 spring,ML0001,22/06/2023,Dry,11:15:00,5
2023 W1 spring,ML0001,22/06/2023,Dry,11:30:00,36
2023 W1 spring,ML0001,22/06/2023,Dry,11:45:00,32
2023 W1 spring,ML0001,22/06/2023,Dry,12:15:00,43
2023 W1 spring,ML0001,22/06/2023,Dry,12:30:00,33
2023 W1 spring,ML0001,22/06/2023,Dry,12:45:00,27
2023 W1 spring,ML0001,22/06/2023,Dry,13:00:00,34
2023 W1 spring,ML0001,22/06/2023,Dry,13:15:00,26
2023 W1 spring,ML0001,22/06/2023,Dry,13:30:00,30
2023 W1 spring,ML0001,22/06/2023,Dry,13:45:00,19
2023 W1 spring,ML0001,22/06/2023,Dry,14:15:00,25
2023 W1 spring,ML0001,22/06/2023,Dry,14:45:00,22
2023 W1 spring,ML0001,22/06/2023,Dry,15:15:00,19
2023 W1 spring,ML0001,22/06/2023,Dry,15:45:00,14
2023 W1 spring,ML0001,22/06/2023,Dry,16:00:00,22
2023 W1 spring,ML0001,22/06/2023,Dry,16:15:00,10
2023 W1 spring,ML0001,22/06/2023,Dry,16:30:00,22
2023 W1 spring,ML0001,22/06/2023,Dry,16:45:00,14
2023 W1 spring,ML0001,22/06/2023,Dry,17:00:00,21
2023 W1 spring,ML0001,22/06/2023,Dry,17:15:00,14
2023 W1 spring,ML0001,22/06/2023,Dry,17:30:00,10
2023 W1 spring,ML0001,22/06/2023,Dry,17:45:00,27
2023 W1 spring,ML0001,22/06/2023,Dry,18:00:00,23
2023 W1 spring,ML0001,22/06/2023,Dry,18:30:00,21
2023 W1 spring,ML0001,22/06/2023,Dry,18:45:00,16
2023 W1 spring,ML0001,22/06/2023,Dry,19:00:00,16
2023 W1 spring,ML0001,22/06/2023,Dry,19:15:00,28
2023 W1 spring,ML0001,22/06/2023,Dry,19:30:00,14
2023 W1 spring,ML0001,22/06/2023,Dry,19:45:00,14
2023 W1 spring,ML0001,22/06/2023,Dry,20:00:00,10
2023 W1 spring,ML0001,22/06/2023,Dry,20:15:00,7
2023 W1 spring,ML0001,22/06/2023,Dry,20:30:00,10
2023 W1 spring,ML0001,22/06/2023,Dry,20:45:00,4
2023 W1 spring,ML0001,22/06/2023,Dry,21:00:00,9
2023 W1 spring,ML0001,22/06/2023,Dry,21:15:00,17
2023 W1 spring,ML0001,22/06/2023,Dry,21:30:00,9
2023 W1 spring,ML0001,22/06/2023,Dry,06:45:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,08:45:00,2
2023 W1 spring,ML0001,22/06/2023,Dry,09:15:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,11:15:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,12:00:00,4
2023 W1 spring,ML0001,22/06/2023,Dry,12:45:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,13:15:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,13:30:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,13:45:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,14:30:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,15:45:00,3
2023 W1 spring,ML0001,22/06/2023,Dry,16:00:00,5
2023 W1 spring,ML0001,22/06/2023,Dry,16:15:00,4
2023 W1 spring,ML0001,22/06/2023,Dry,16:30:00,7
2023 W1 spring,ML0001,22/06/2023,Dry,16:45:00,3
2023 W1 spring,ML0001,22/06/2023,Dry,17:00:00,10
2023 W1 spring,ML0001,22/06/2023,Dry,17:15:00,15
2023 W1 spring,ML0001,22/06/2023,Dry,17:30:00,25
2023 W1 spring,ML0001,22/06/2023,Dry,17:45:00,34
2023 W1 spring,ML0001,22/06/2023,Dry,18:00:00,48
2023 W1 spring,ML0001,22/06/2023,Dry,18:15:00,58
2023 W1 spring,ML0001,22/06/2023,Dry,18:30:00,29
2023 W1 spring,ML0001,22/06/2023,Dry,18:45:00,29
2023 W1 spring,ML0001,22/06/2023,Dry,19:00:00,6
2023 W1 spring,ML0001,22/06/2023,Dry,19:15:00,19
2023 W1 spring,ML0001,22/06/2023,Dry,19:30:00,10
2023 W1 spring,ML0001,22/06/2023,Dry,20:00:00,3
2023 W1 spring,ML0001,22/06/2023,Dry,20:15:00,5
2023 W1 spring,ML0001,22/06/2023,Dry,20:30:00,6
2023 W1 spring,ML0001,22/06/2023,Dry,20:45:00,5
2023 W1 spring,ML0001,22/06/2023,Dry,21:00:00,3
2023 W1 spring,ML0001,22/06/2023,Dry,21:15:00,2
2023 W1 spring,ML0001,22/06/2023,Dry,21:30:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,21:45:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,09:45:00,2
